Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;05/09/1993;Ath Bilbao;Albacete;4;1;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Ath Madrid;Logrones;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Barcelona;Sociedad;3;0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;La Coruna;Celta;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Osasuna;Real Madrid;1;4;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Oviedo;Valencia;0;3;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Santander;Vallecano;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Tenerife;Lerida;1;0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Valladolid;Sp Gijon;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;05/09/1993;Zaragoza;Sevilla;1;2;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Albacete;Barcelona;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Celta;Oviedo;1;1;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Lerida;Ath Bilbao;1;2;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Logrones;Santander;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Real Madrid;Valladolid;1;3;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Sevilla;Osasuna;1;1;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Sociedad;Zaragoza;2;2;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Sp Gijon;La Coruna;0;2;A;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Valencia;Ath Madrid;2;2;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;12/09/1993;Vallecano;Tenerife;4;3;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;19/09/1993;Ath Bilbao;Barcelona;0;0;D;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;19/09/1993;Ath Madrid;Celta;3;2;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;19/09/1993;La Coruna;Real Madrid;4;0;H;;;;;;;;;;;;;;;;;;;;;;;;;
SP1;19/09/1993;Lerida;Vallecano;0;1;A;;;;;;;;;;;;;;;;;;;;;;;;;
